Dog,Cat,Rabbit,Parrot
Afador,Abyssinian,Alaska,Andean parakeet
Affenhuahua,Aegean,Altex,Austral parakeet
Affenpinscher,American  hair,American Chinchilla,Australian king parrot
Afghan Hound,American Bobtail,American Fuzzy Lop,Australian ringneck
Airedale Terrier,American Shorthair,American Rabbit,Aztec parakeet
Akbash,American Wirehair,American Sable,Barred parakeet
Akita,Aphrodite Giant,Angora Rabbit,Black-collared lovebird
Akita Chow,Arabian Mau,Argente Bleu,Black-fronted fig parrot
Akita Pit,Asian,Argente Brun,Black-headed parrot
Akita Shepherd,Australian Mist,Argente Clair,Black-legged parrot
Alaskan Klee Kai,Balinese,Argente Creme,Black-winged lovebird
Alaskan Malamute,Bambino,Argente de Champagne,Black-winged parrot
Alentejo Mastiff                ,Bengal,Argente rabbit,Blood-eared parakeet
Alpine Dachsbracke             ,Bengal Cats,Argente St Hubert,Blue-and-yellow macaw
American Akita                   ,Birman,Baladi,Blue-backed parrot
American Bulldog,Bombay,Belgian Hare,Blue-crowned parakeet
American Cocker Spaniel                   ,Brazilian Shorthair,Beveren Rabbit,Blue-fronted fig parrot
American English Coonhound,British  hair,Blanc de Bouscat,Blue-fronted parrotlet
American Eskimo Dog,British Longhair,Blanc de Hotot,Blue-headed parrot
American Foxhound,British Shorthair,Blanc de Popielno,Blue-winged parakeet
American Hairless Terrier,Burmese,Blanc de Termonde,Bonaparte's parakeet
American Leopard Hound,Burmilla,Blue of Ham,Bourke's parrot
American Pit Bull Terrier,California Spangled,Blue of Sint Niklaas,Bronze-winged parrot
American Pugabull,Chantilly-Tiffany,Bourbonnais Grey,Brown-headed parrot
American Staffordshire Terrier,Chartreux,Britannia Petite,Brown-hooded parrot
American Water Spaniel,Chausie,Brown Chestnut of Lorraine,Brown-necked parrot
Anatolian Shepherd             ,Colorpoint Shorthair,Caldes,Brown-throated parakeet
Anglo-Français de Petite Vénerie                ,Common,Californian rabbit,Budgerigar
Appenzeller Sennenhunde,Cornish Rex,Cashmere Lop,Burrowing parrot
Ardennes Cattle Dog                   ,Cyprus,Champagne d'Argent,Buru racket-tail
Argentine Mastiff                ,Devon Rex,Checkered Giant,Caatinga parakeet
Ariege Pointer             ,Domestic  hair,Checkered Giant rabbit,Chestnut-fronted macaw
Ariegeois                ,Donskoy,Chinchilla,Cobalt-rumped parrotlet
Artesian Norman Basset                   ,European  hair,Chinchilla Giganta,Cobalt-winged parakeet
Artois Hound                   ,European Shorthair,Cinnamon Rabbit,Cockatiel
Atlas Mountain Dog                ,Exotic  hair,Continental Giant,Crimson rosella
Auggie,Foldex,Creme d'Argent,Dusky parrot
Aussiedoodle,German Rex,Cuban Brown,Dusky-billed parrotlet
Aussiepom,Highlander,Czech Red,Dusky-cheeked fig parrot
Australian Cattle Dog,Himalayan,Czech Spot,Dusky-headed parakeet
Australian Kelpie,Japanese Bobtail,Czech White,Eastern bluebonnet
Australian Retriever,Javanese,Dalmatian,Eastern rosella
Australian Shepherd,Khao Manee,Deilenaar,Elegant parrot
Australian Shepherd Husky,Korat,Dutch Rabbit,Fiery-shouldered parakeet
Australian Shepherd Lab Mix,Kurilian Bobtail,Dwarf Hotot,Finsch's parakeet
Australian Shepherd Pit Bull Mix,Lykoi,Dwarf Lop,Golden-collared macaw
Australian Silky Terrier                ,Maine Coon,English Angora,Golden-winged parakeet
Australian Stumpy Tail Cattle Dog,Mandarin Cat,English Lop,Gray-headed lovebird
Australian Terrier,Manx,English Spot,Gray-hooded parakeet
Austrian Pinscher                ,Mekong Bobtail,Fauve de Bourgogne,Green parakeet
Auvergne Pointer             ,Nebelung,Fee  de Marbourg,Green rosella
Azawakh,Ocicat,Flemish Giant Rabbit,Green-cheeked parakeet
Barbet,Oriental,Florida White Rabbit,Green-rumped parrotlet
Basenji,Oriental Bicolor,French Angora Rabbit,Ground parrot
Bassador,Persian,French Lop,Hooded parrot
Basset Fauve de Bretagne,Peterbald,Gabali,Jandaya parakeet
Basset Hound,Pixie-Bob,German Angora,Layard's parakeet
Basset Retriever,Ragdoll,German Lop,Lilac-tailed parrotlet
Bavarian Mountain Scent Hound,Ragdoll Cats,Giant Angora,Major Mitchell's cockatoo
Beabull,Russian Blue,Giant Chinchilla,Maroon shining parrot
Beagle,rwegian Forest Cat,Giant Papillon,Maroon-bellied parakeet
Beagle Harrier                ,Savannah,Golden Glavcot,Maroon-tailed parakeet
Beaglier,Scottish Fold,Gotland Rabbit,Meyer's parrot
Bearded Collie,Selkirk Rex,Grey Pearl of Halle,Mitred parakeet
Beauceron                ,Serengeti,Harlequin Rabbit,Moluccan eclectus
Bedlington Terrier,Siamese,Harlequin Dutch,Moluccan king parrot
Belgian Griffon                ,Siamese Cat,Havana Rabbit,Mountain parakeet
Belgian Laekenois,Siberian,Himalayan Rabbit,Mulga parrot
Belgian Malinois,Singapura,Holland Lop,Nanday parakeet
Belgian Sheepdog,Snowshoe,Hulstlander Rabbit,Niam-Niam parrot
Belgian Shepherd                ,Sokoke,Hungarian Giant,Northern Red-shouldered Macaw
Belgian Shepherd Groenendael                ,Somali,Japanese White,Northern rosella
Belgian Shepherd Laekenois                ,Sphynx,Jersey Wooly,Orange-chinned parakeet
Belgian Shepherd Malinois                ,Sri Lankan Cat,Lilac rabbit,Orange-fronted parakeet
Belgian Shepherd Tervuren                ,Tonkinese,Lionhead Rabbit,Orange-winged amazon
Belgian Tervuren,Toyger,Liptov Baldspotted Rabbit,Pacific parrotlet
Bergamasco Sheepdog,Turkish Angora,Magpie,Painted parakeet
Bergamasco Shepherd                  ,Turkish Van,Meissner Lop,Pale-headed rosella
Berger Picard,Ukrainian Levkoy,Mellerud Rabbit,Papuan king parrot
Bernedoodle,York Chocolate,Mini Lion Lop Rabbit,Peach-fronted parakeet
Bernese Hound                ,,Mini Lop Rabbit,Pileated parrot
Bernese Mountain Dog,,Mini Rex Rabbit,Plain parakeet
Bichon Frise,,Mini Satin Rabbit,Plum-headed parakeet
Biewer Terrier,,Miniature Cashmere Lop,Red-and-green macaw
Billy                   ,,Netherland Dwarf Rabbit,Red-bellied macaw
Black and Tan Coonhound,,New Zealand Rabbit,Red-bellied parrot
Black and Tan Hound                  ,,Palomino Rabbit,Red-billed parrot
Black Mouth Cur,,Plush Lop Rabbit,Red-capped parrot
Black Russian Terrier,,Pointed Beveren Rabbit,Red-cheeked parrot
Bloodhound,,Polish Rabbit,Red-fan parrot
Blue Gascon Griffon                ,,Rex Rabbit,Red-fronted parrot
Blue Gascony Basset                   ,,Rhinelander Rabbit,Red-headed lovebird
Blue Lacy,,SA Phendula,Red-lored amazon
Blue Picardy Spaniel                ,,Sachsengold,Red-rumped parrot
Bluetick Coonhound,,Sallander,Red-tailed black cockatoo
Bocker,,Satin Angora Rabbit,Red-throated parakeet
Boerboel,,Satin Rabbit,Red-winged parrot
Boglen Terrier,,Siamese Sable,Rock parrot
Bohemian Shepherd,,Silver Fox Rabbit,Rose-crowned parakeet
Bolognese,,Silver Marten Rabbit,Rose-faced parrot
Borador,,Silver Rabbit,Rose-fronted parakeet
Border Collie,,Slovenian Rabbit,Rose-ringed parakeet
Border Sheepdog,,Smoke Pearl Rabbit,Rosy-faced lovebird
Border Terrier,,Spanish Giant Rabbit,R�ppell's parrot
Bordoodle,,Squirrel,Sapphire-rumped parrotlet
Borzoi,,Sussex Rabbit,Scaly-headed parrot
BoShih,,Swedish Hare,Scaly-naped amazon
Bosnian Rough-Haired Hound                   ,,Swiss Fox,Scarlet macaw
Bossie,,Tan rabbit,Scarlet-chested parrot
Boston Boxer,,Teddy Dwarf Rabbit,Senegal parrot
Boston Terrier,,Teddy Lop Rabbit,Short-tailed parrot
Boston Terrier Pekingese Mix,,Thrianta Rabbit,Slaty-headed parakeet
Boulet Griffon                ,,Thuringer Rabbit,Slender-billed parakeet
Bourbonnais Pointer                ,,Tri Colored Dutch,Solomons cockatoo
Bouvier des Flandres,,Velveteen Lop,Southern red-shouldered macaw
Boxador,,Vienna Blue,Speckle-faced parrot
Boxer,,White Vienna Rabbit,Spectacled parrotlet
Boxerdoodle,,Zemmouri Rabbit,Sulphur-breasted parakeet
